Time resolution is 1 ps
Time = 0, switch_data = xxxxxxxx, data_out = xxxxxxxx, miso = 1, mosi = bx
Time = 5000, switch_data = xxxxxxxx, data_out = 00000000, miso = 1, mosi = b0
Time = 20000, switch_data = 01010101, data_out = 00000000, miso = 1, mosi = b0
Time = 30000, switch_data = 01010101, data_out = 00000000, miso = 0, mosi = b0
Time = 40000, switch_data = 01010101, data_out = 00000000, miso = 1, mosi = b0
Time = 45000, switch_data = 01010101, data_out = 00000001, miso = 1, mosi = b0
Time = 50000, switch_data = 01010101, data_out = 00000001, miso = 0, mosi = b0
Time = 60000, switch_data = 01010101, data_out = 00000001, miso = 1, mosi = b0
Time = 65000, switch_data = 01010101, data_out = 00000011, miso = 1, mosi = b0
Time = 70000, switch_data = 01010101, data_out = 00000011, miso = 0, mosi = b0
Time = 80000, switch_data = 01010101, data_out = 00000011, miso = 1, mosi = b0
Time = 85000, switch_data = 01010101, data_out = 00000111, miso = 1, mosi = b0
Time = 90000, switch_data = 01010101, data_out = 00000111, miso = 0, mosi = b0
Time = 105000, switch_data = 01010101, data_out = 00001111, miso = 0, mosi = b0
Time = 120000, switch_data = 10100011, data_out = 00001111, miso = 0, mosi = b0
Time = 125000, switch_data = 10100011, data_out = 00011110, miso = 0, mosi = b0
Time = 140000, switch_data = 10100011, data_out = 00011110, miso = 1, mosi = b0
Time = 150000, switch_data = 10100011, data_out = 00011110, miso = 0, mosi = b0
Time = 160000, switch_data = 10100011, data_out = 00011110, miso = 1, mosi = b0
Time = 170000, switch_data = 10100011, data_out = 00011110, miso = 0, mosi = b0
Time = 180000, switch_data = 10100011, data_out = 00011110, miso = 1, mosi = b0
Time = 190000, switch_data = 10100011, data_out = 00011110, miso = 0, mosi = b0
Time = 200000, switch_data = 10100011, data_out = 00011110, miso = 1, mosi = b0
